,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Other Properties,9988314000.0,7250020000.0,6719973000.0,6211663000.0
Machinery Furniture Equipment,747585000.0,510557000.0,500011000.0,439140000.0
Buildings And Improvements,4759178000.0,3367862000.0,3166256000.0,2842483000.0
Land And Improvements,762580000.0,707007000.0,503318000.0,498296000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,27221359000.0,21562311000.0,19653210000.0,15945946000.0
Other Current Assets,898758000.0,730720000.0,720371000.0,614743000.0
Hedging Assets Current,210749000.0,22423000.0,33647000.0,409337000.0
Inventory,9903951000.0,7116286000.0,7644361000.0,6497048000.0
Inventories Adjustments Allowances,-660344000.0,-222872000.0,-190475000.0,-157670000.0
Other Inventories,569585000.0,226522000.0,268003000.0,362378000.0
Finished Goods,4191766000.0,2939723000.0,3211898000.0,2359449000.0
Work In Process,2620770000.0,1872769000.0,1660541000.0,1829524000.0
Raw Materials,3182174000.0,2300144000.0,2694394000.0,2103367000.0
Taxes Receivable,817414000.0,541102000.0,657580000.0,890290000.0
Accounts Receivable,7394411000.0,6070556000.0,5614423000.0,4317393000.0
Allowance For Doubtful Accounts Receivable,-138474000.0,-56987000.0,-40017000.0,-48766000.0
Gross Accounts Receivable,7532885000.0,6127543000.0,5654440000.0,4366159000.0
Cash Cash Equivalents And Short Term Investments,7996076000.0,7081224000.0,4982828000.0,3217135000.0
Other Short Term Investments,648477000.0,592770000.0,531826000.0,502708000.0
Cash And Cash Equivalents,7347599000.0,6488454000.0,4451002000.0,2714427000.0
Cash Equivalents,5447374000.0,5179673000.0,3740097000.0,2184605000.0
Cash Financial,1900225000.0,1308781000.0,710905000.0,529822000.0
